"","relative_coverage","vaccine_efficacy","total_infections","age0","age1","age5","age10","age15","age20","age25","age30","age35","age40","age45","age50","age55","age60","age65","age70","age75"
"11",0.1,0.16,155120880.262201,1849312.53522075,7393174.88313495,12543607.7765236,14455162.1730121,15042658.8078342,12328056.231958,11843891.6575665,11562588.2259881,11039992.606502,10394334.2446246,10257307.7102006,9544381.07050203,8421344.74066191,7059730.23269036,4516058.21857957,2502085.18829774,4367193.95890364
"12",0.11,0.16,150092409.53779,1783098.76392794,7123875.52148322,12287940.4129838,14244705.3940071,14829105.0643184,12026850.7879772,11358921.2010122,11093922.2681133,10598384.461508,9984830.19945623,9835595.87259248,9192825.72338025,8083210.38147304,6764692.16716885,4318335.04072015,2391660.32028277,4174455.95738544
"13",0.12,0.16,151688768.329682,1808803.68989046,7222497.5735859,12329942.0021027,14266443.6820286,14853337.633928,12093433.106366,11495875.9350307,11226199.0826252,10722954.1828674,10100158.9970488,9957038.58738877,9308419.73212489,8199975.37771679,6870193.15211493,4452862.16877025,2469796.62977926,4310836.79631313
"14",0.13,0.16,153252081.164022,1821757.77507064,7270399.96483592,12381379.9341269,14306275.9621312,14898744.1703111,12167710.7413712,11642153.9636276,11366847.4611793,10855856.6749047,10223994.9115114,10086155.7763555,9452110.49258459,8338543.68366938,6991175.09058408,4539921.20603263,2516572.65417202,4392480.7015538
"15",0.14,0.16,152735026.298978,1827359.72906418,7287491.16971288,12505869.0547615,14440971.0539635,15036898.7536873,12271022.8345051,11532440.5930945,11262332.6616615,10759438.8186691,10135541.6606833,9985329.72105093,9252815.3178392,8133206.13687425,6814113.33193975,4553210.20459844,2526746.64580315,4410238.61106909
"16",0.15,0.16,149520330.146574,1778791.15629981,7090393.06380435,12174770.7568855,14116042.5822797,14708814.7810129,11950506.5015536,11379967.0058185,11115458.5150011,10616530.0778657,9998191.23765118,9848201.02086926,9152919.88714723,8042664.49979587,6729836.73877558,4294672.94535453,2375798.6785656,4146770.69789343
"17",0.16,0.16,152163141.658399,1816750.95835308,7237931.79692863,12359792.7513598,14290648.9305753,14889331.2556061,12152198.2191471,11635722.045475,11361615.2617751,10849962.6707528,10216286.6660265,10072297.1853199,9268588.50062888,8151804.68134401,6825647.95531878,4381970.59008355,2423158.54164422,4229433.6480607
"18",0.17,0.16,152357727.80459,1818889.28273416,7242978.50800658,12401951.1000069,14338378.3624804,14939104.9038059,12188124.5273852,11576693.0941934,11303837.186014,10796495.8967995,10168559.2971554,10023539.7185075,9300455.62376163,8181041.02407898,6852019.6161768,4451950.85343564,2467274.38880033,4306434.42124703
"19",0.18,0.16,149963826.743388,1796212.13434188,7148682.86280498,12232028.3952774,14176605.2826961,14775531.2121981,12011631.977087,11421726.6828041,11155596.66838,10654586.2578,10033866.7943664,9883905.72858684,9139507.2839076,8028411.95726452,6717257.65859704,4285006.74041382,2368768.6958829,4134500.41097955
"20",0.19,0.16,152201052.319702,1808578.73489472,7195057.48292407,12292001.8411687,14217232.3564228,14820545.4444489,12105777.5567425,11638823.1157494,11364870.7545611,10851547.065764,10216589.5423086,10073542.6535733,9369880.12806484,8247498.03924407,6906872.52424706,4405363.49526366,2435644.56155913,4251227.02276493
