"","relative_coverage","vaccine_efficacy","total_infections","age0","age1","age5","age10","age15","age20","age25","age30","age35","age40","age45","age50","age55","age60","age65","age70","age75","infection_per_million"
"490",89,14,133862877.652322,1582620.74486783,6076732.28454649,10837258.0153897,12851545.6962567,13554151.3029333,10834694.7289999,10297270.6546647,10059194.1872154,9612486.9257256,9056447.65261382,8895977.57388069,8047479.0206973,7009301.41718057,5845128.76959161,3707641.63499789,2037918.99717796,3557028.0455822,133.862877652322
"491",90,14,135997089.12136,1606207.18664295,6161616.0381161,10964130.5188258,12963067.6342333,13685332.5639165,11006025.1823628,10534003.6349656,10286989.0937407,9827393.8420314,9255839.09347173,9098711.50077327,8144206.44666403,7098618.49227037,5923885.31045214,3762399.47886018,2068411.96299217,3610251.14104106,135.99708912136
"492",91,14,133915665.132181,1580109.48476193,6059908.60501563,10853390.5010601,12865832.8636434,13575887.0486329,10863542.2113412,10242618.7839139,10005240.3887004,9561414.3727054,9010261.93784653,8848703.84288674,8124279.24604117,7081933.62859144,5903842.684176,3721987.35125461,2045846.79054027,3570865.39106939,133.915665132181
"493",92,14,133324338.173446,1573365.73095937,6024856.91546677,10850691.7165689,12871113.1944942,13603235.5665805,10876717.0306459,10161445.613063,9924189.62247692,9485644.52645716,8941667.35695549,8780065.11890603,8061558.31610147,7021745.02926383,5852117.02319819,3704148.24249474,2036764.39403568,3555012.77577755,133.324338173446
"494",93,14,129866648.795153,1514835.63069639,5796610.13649713,10492360.9770417,12518516.4866451,13229315.5656921,10502672.565517,9944557.97707408,9716080.92613347,9287595.61530457,8753946.56402163,8592448.52696517,7875079.20750412,6857626.70921593,5715724.43325024,3615319.45801629,1986564.77051401,3467393.24506442,129.866648795153
"495",94,14,134121516.520243,1587886.43166075,6077925.72253785,10785176.0218303,12773578.9022787,13493475.9182809,10832493.4161904,10401531.0478303,10159547.9919615,9705540.33368085,9140296.38621997,8982027.37462951,8037394.0462019,6998870.83218039,5839075.82317256,3712278.69837104,2037726.1417514,3556691.43146469,134.121516520243
"496",95,14,133361400.613747,1581170.91518531,6049459.18100755,10797823.2396617,12811730.1757565,13539872.3148776,10830412.0761723,10254877.950787,10017213.9803606,9573387.44787836,9019918.53025902,8857833.27213797,7935747.10484708,6907289.75074369,5763422.00488096,3752307.5317032,2064868.62200361,3604066.51548426,133.361400613747
"497",96,14,131434960.611831,1540204.67004753,5888026.69082537,10646152.8922846,12661219.6677641,13384205.3797464,10677716.0116962,10124187.7425049,9888223.68474836,9451384.07658378,8906650.67052873,8747021.35423422,7821987.42686318,6799266.23974459,5669509.41442834,3677214.38338317,2022272.31872765,3529717.98772002,131.434960611831
"498",97,14,129919705.904528,1528550.06896094,5840218.34619653,10517226.2977121,12543206.9968768,13268100.4328093,10544161.8903843,9906550.45283255,9675780.39982256,9249488.04212276,8720461.15695766,8564335.9022908,7883998.3465748,6869184.70016948,5725099.21871523,3618928.36864291,1990373.75420425,3474041.529255,129.919705904528
"499",98,14,130965264.914689,1545437.71655941,5901829.16653316,10662795.0736344,12688157.7002139,13417860.1923762,10691892.1753134,10022395.1537149,9790148.06081126,9357965.08151055,8820587.93095586,8656367.70895968,7866907.29389389,6845651.59935416,5704230.42114936,3584324.57263534,1970085.35591781,3438629.71115618,130.965264914689
"500",99,14,130715214.479398,1550714.55719845,5919816.01709117,10673958.7325964,12702383.1073769,13425337.9207354,10692006.0938549,9948599.03884652,9718252.78369196,9289791.60284902,8758334.78390573,8594299.95153016,7895084.01154358,6870455.4395746,5722153.45764925,3567114.28487032,1962144.00101925,3424768.69506433,130.715214479398
"501",0,15,153231212.94981,1820406.46178082,7316615.08992752,12505891.6050533,14438560.919234,15002345.7498104,12213387.6626891,11612065.9938952,11340197.3249977,10832156.4192913,10202833.6437987,10059139.5960815,9378016.48767856,8256931.91206555,6916878.4697538,4492708.31212406,2492541.35681338,4350535.94481507,153.23121294981
"502",1,15,154192706.69884,1832563.0866064,7361721.67324343,12614461.3457581,14552572.1677114,15121154.3620352,12320343.261209,11663230.6674594,11388920.4005804,10879274.4886052,10248340.1606202,10104191.1518257,9428625.45790716,8301792.86858158,6954942.93181096,4525891.17811335,2511337.80918416,4383343.68758807,154.19270669884
"503",2,15,154773336.664747,1846946.93688528,7415828.62005099,12590848.3108386,14503620.5208389,15074147.0701946,12329721.9687285,11812555.5549513,11532797.9807577,11013414.0996918,10370612.2945273,10232240.9257685,9422303.9129751,8292188.72662763,6947683.5016985,4515677.86110161,2503348.83076238,4369399.54834783,154.773336664747
"504",3,15,152663204.809877,1821219.59607429,7308740.56423512,12543528.0823105,14482639.9870751,15050141.3214918,12246706.9516145,11484272.9187053,11216156.2840791,10716433.0174567,10097047.5015549,9948326.47138575,9299260.56362361,8181028.93899781,6852616.87055428,4520694.8515586,2511231.95747691,4383158.93168226,152.663204809877
"505",4,15,154865387.502523,1845841.00453994,7404229.53289537,12580875.1428474,14502845.2726348,15076915.1257623,12321565.9183207,11724891.1728797,11447137.0675162,10932296.2678826,10297035.2973173,10159537.3161772,9569842.99971465,8445697.92899198,7079083.28846243,4547716.91760584,2524157.60567694,4405719.64329719,154.865387502523
"506",5,15,153867105.033871,1831997.67292281,7344694.27424346,12549245.7172431,14481254.5978123,15057107.3957598,12281643.8959548,11689764.788297,11414306.3792821,10901971.102141,10267768.6829067,10125076.3743433,9395932.59967541,8272775.054155,6930887.02401024,4488531.25429446,2489289.00414162,4344859.21668802,153.867105033871
"507",6,15,154744583.056758,1847651.46683862,7403660.62735799,12543792.8303764,14468640.3945889,15049597.4692752,12294294.1606815,11758109.5362531,11481097.1873122,10962971.2649246,10323513.8079916,10183206.7977204,9580373.09353343,8454413.56313467,7084641.60172002,4484079.42213877,2485789.21879704,4338750.61411341,154.744583056758
"508",7,15,154466669.335297,1839694.41975792,7367832.60157637,12607330.5454779,14529339.3599114,15110135.5013235,12359110.2368782,11749588.329855,11470207.2621194,10955031.4275885,10317831.2236346,10177884.1740998,9408114.58572471,8281364.70371367,6938541.79007353,4502257.86987428,2495939.01365002,4356466.29003813,154.466669335297
"509",8,15,151083068.76638,1809096.70192705,7241800.83536103,12375798.1784909,14321623.8792557,14896979.3078679,12092398.8009165,11387220.2232366,11123629.7804663,10626888.5704069,10011284.2015649,9860448.90712677,9249784.00439999,8138136.51233467,6813824.18707896,4417135.72504967,2446625.52034178,4270393.43055485,151.08306876638
"510",9,15,153219325.481011,1831586.84534967,7328016.47570812,12463439.6474359,14384876.1246556,14968551.4641111,12224247.7313868,11692270.5743741,11417009.7050719,10902648.3495567,10265961.3499872,10123330.4408355,9347378.91595163,8226195.62028203,6889873.82061018,4425737.64105515,2450698.41822951,4277502.35640989,153.219325481011
"511",10,15,152197661.060199,1810018.24404235,7237698.28508347,12414945.325671,14357338.6951888,14942849.6936677,12160177.8630274,11555846.5173352,11285556.1461629,10779862.499613,10153136.8680291,10005536.2533048,9286373.00161019,8169232.55581468,6841451.52449146,4440296.7010487,2461312.49167407,4296028.39443416,152.197661060199
"512",11,15,153901996.201563,1833033.36992429,7325868.5909053,12532165.3377678,14461102.706366,15050196.0328471,12297159.8436862,11640852.6722631,11365200.4216752,10855563.6863513,10225800.978998,10084313.1675619,9457238.90991531,8333705.60565651,6983080.73045923,4541343.96463093,2518873.5123542,4396496.67020093,153.901996201563
"513",12,15,150620747.170923,1792437.08207464,7159693.07790213,12330438.6163868,14280740.8955607,14866254.8478702,12075806.4848711,11412223.7357602,11145576.6796536,10647714.5090377,10030583.8427807,9881695.17676669,9166538.29108649,8054797.14855055,6742017.68516894,4377080.07012519,2424818.33657153,4232330.69075561,150.620747170923
"514",13,15,152024486.216649,1812590.28628865,7236877.59211996,12439838.3823262,14381088.9367641,14969841.5870502,12197748.394819,11501560.9988196,11230822.5049582,10727575.631774,10105872.5255685,9959607.22026686,9335704.90601204,8217876.16453631,6879157.70910642,4375597.92745063,2423207.08029517,4229518.36849323,152.024486216649
"515",14,15,152041383.393608,1818075.93136114,7254938.58018124,12381541.5659526,14317455.7810855,14912769.0885004,12150899.9555819,11567722.5515959,11298404.2909222,10789952.2453033,10160290.7497447,10009896.9454973,9309217.58902096,8187349.63661399,6853738.74195773,4379221.85302997,2422180.80402163,4227727.08323726,152.041383393608
"516",15,15,153086329.666007,1830185.18370626,7300069.45685819,12422862.4503826,14354194.0948698,14948305.3168828,12199772.9516722,11631303.1036693,11357452.1824133,10847235.1139869,10215555.0397998,10072851.8307917,9350034.34496891,8232668.66294886,6899543.14105281,4526655.27261418,2512415.97587175,4385225.54351785,153.086329666007
"517",16,15,151508646.84187,1810964.80204501,7219239.61596312,12329692.4560376,14265226.7415935,14859869.6072342,12106927.6457757,11471503.9259655,11204215.5592817,10700848.876899,10078326.6311632,9929075.66201015,9344213.54589244,8226897.40829598,6887490.50373133,4392874.62018131,2433607.59078194,4247671.64901802,151.50864684187
"518",17,15,151597440.804711,1814416.091313,7229664.30369757,12390484.239026,14326666.3255956,14924087.35245,12171743.9715604,11564751.9145473,11292237.9168271,10784449.9609438,10156239.1612161,10009652.0427715,9219290.21286828,8099147.42994338,6776891.21480143,4304351.79604231,2379731.58737873,4153635.28372832,151.597440804711
"519",18,15,151379290.398619,1805624.3529819,7190569.64031287,12224585.5154594,14154558.6762368,14756759.0445254,12024229.6072846,11601595.1422881,11330965.3830415,10819163.6815201,10184862.0371442,10038633.2261169,9273375.83755013,8162789.92959933,6837069.98427752,4356462.61128733,2410575.24484948,4207470.48414367,151.379290398619
"520",19,15,150058784.056676,1790492.41878348,7127421.10734154,12199380.3510677,14149739.1122702,14744844.089029,11975965.726748,11407059.8956333,11139919.9617746,10640640.9989899,10022326.4161049,9877599.77060215,9175635.21696694,8067013.06091802,6753428.83156936,4359856.51749676,2414004.53628566,4213456.04509487,150.058784056676
"521",20,15,150621812.851081,1796403.14725234,7146482.73860791,12301298.9450077,14250789.2844,14854603.0294109,12085314.3040297,11464588.7359379,11195969.816317,10694040.7387469,10072067.0319857,9922353.31762746,9159233.70248943,8046773.05578357,6735092.76100336,4324846.31862871,2393787.36888916,4178168.55496329,150.621812851081
"522",21,15,149983631.661577,1778744.61881029,7073718.82549033,12252785.497735,14200368.7100211,14800366.0953881,12037717.2145501,11332287.469038,11067685.7116248,10572949.9241026,9960595.8246395,9809002.51618631,9212263.11811928,8101835.15477694,6781004.29158682,4363708.05117931,2418061.49243707,4220537.14589152,149.983631661577
"523",22,15,151213950.92345,1789400.26832346,7112383.4748513,12232727.2947647,14168136.2535812,14772297.5166802,12046773.243562,11540114.1539949,11267014.4397027,10760837.9297504,10134081.2162088,9993056.14660949,9248147.36639623,8134312.98278784,6813460.08206706,4442031.89613887,2461981.1582312,4297195.49979927,151.21395092345
"524",23,15,150938493.719566,1792872.5102797,7120485.82051119,12311007.5640353,14257292.3160946,14866592.9283814,12114198.8233337,11478969.9826296,11207972.7491209,10706257.9299647,10084690.243185,9937851.08099263,9181375.35539186,8067340.0593616,6753676.17534102,4389065.83956991,2429078.26956356,4239766.07180922,150.938493719566
"525",24,15,148584145.228714,1762309.06856306,6995469.75426115,12069052.9990114,14019742.9832192,14627442.8305665,11878344.6517731,11354305.2053211,11088771.5980002,10590176.709589,9972956.0575377,9824587.91758772,9111190.16929534,8003264.03903497,6694015.21621141,4209192.52037622,2325079.38490837,4058244.12345745,148.584145228714
"526",25,15,148022797.60645,1759214.91292852,6979150.76871184,12039188.8915299,13996760.3271941,14604825.4167004,11839143.5131442,11272830.4969697,11010618.6676025,10517268.6479904,9905636.9728548,9755260.69901809,9044743.8461153,7941648.53590254,6643491.55923587,4253501.69611014,2352830.72666242,4106681.92777884,148.02279760645
"527",26,15,149438937.471601,1777705.3291111,7049552.05717554,12195673.2957539,14151632.4629946,14763916.4497721,12003138.3633881,11391429.5469262,11123007.8765317,10624457.0041445,10007365.44774,9859861.32423986,9103919.15117202,7996975.71502699,6691050.99437802,4250540.59919874,2348896.61375564,4099815.24029231,149.438937471601
"528",27,15,147469906.838309,1757602.21885451,6966522.47528245,12051243.3006891,14014871.8370141,14624972.6311813,11846397.3204709,11213712.6743345,10953162.0615681,10463560.5406929,9856217.43599492,9702852.03334,8959792.90193186,7855744.14874663,6568376.0586106,4223932.83794363,2335140.80810687,4075805.55354621,147.469906838309
"529",28,15,146318669.585569,1734442.52157849,6870019.3168228,11955282.9808903,13933479.474121,14546496.3253901,11754354.1188598,11165097.455462,10904993.9051182,10417260.4867624,9812809.96157574,9660631.54159065,8916341.90876529,7820140.62317692,6535969.29217246,4090582.4751369,2258584.57803332,3942182.62011293,146.318669585569
"530",29,15,147980490.061604,1755550.80486837,6950698.3473918,12005328.6728434,13962398.351513,14579859.0766706,11826450.4797561,11310742.9489797,11047412.1130035,10551455.2400735,9936403.90443133,9785048.01937486,9032002.08821769,7927063.84524017,6631391.21725527,4240214.01396704,2345166.43465192,4093304.50336612,147.980490061604
"531",30,15,149202767.893639,1775748.62597827,7027364.40627224,12094527.277222,14047204.1856112,14670858.0712073,11930700.5920116,11371562.116163,11102384.6674568,10604257.4000191,9988386.92015294,9846040.80895417,9135107.84529963,8032980.2317506,6724012.26133974,4307258.77209943,2383740.74907403,4160632.96302653,149.202767893639
"532",31,15,146077753.216894,1739201.3916964,6877646.45751523,11908958.6942172,13877708.3005023,14496422.2538204,11719945.9175654,11097138.6826478,10840229.3306433,10357454.0960989,9756965.47036245,9603092.54702599,8825530.29770613,7735802.78102509,6472321.6675504,4274112.01969778,2365838.07252393,4129385.23629503,146.077753216894
"533",32,15,145798729.26804,1733601.69696468,6851542.22032624,11806410.6473536,13756710.6468875,14380689.3281886,11647808.8724882,11174829.1112743,10915033.8779449,10424561.3646105,9816250.16381948,9666615.17412337,8897880.7715421,7805935.62922486,6528043.5117605,4132402.56663306,2280310.37656946,3980103.30832852,145.79872926804
"534",33,15,146898449.95373,1750555.19335107,6915611.1611832,11988900.3086524,13966428.6550471,14591548.6279235,11809653.153862,11179053.4740124,10917337.4892245,10428586.1788318,9824281.19713856,9673522.62429446,8988777.9991416,7886248.58294281,6591345.29147666,4125771.718765,2280461.39633047,3980366.90155213,146.89844995373
"535",34,15,145822228.520544,1736253.44743055,6855574.15331499,11935022.9242552,13908079.9680822,14529749.6427252,11752943.8397151,11096931.6799468,10838681.8623197,10356176.2329224,9756418.27971913,9601772.43975615,8773364.06230861,7683065.2256283,6424825.03705149,4198560.54573062,2321978.10265872,4052831.07697899,145.822228520544
"536",35,15,145953057.629862,1731100.03916452,6829491.44945129,11882505.7494327,13844759.4040715,14471588.1182894,11726827.507753,11167352.4647566,10906539.5987191,10417859.8615484,9811728.8183302,9659388.6294808,8876279.14981436,7784891.1066731,6508352.90862169,4109076.643898,2267526.36588995,3957789.8139676,145.953057629862
"537",36,15,149122553.880164,1773090.15681397,6993393.18840396,12129914.8930102,14078083.2210454,14715067.0893129,11998571.0447576,11402351.8378701,11131711.0099455,10630593.4330475,10011762.3457016,9864844.19676476,9127821.28887402,8014427.01064581,6701613.33879762,4194715.13960686,2314615.12036705,4039979.56519888,149.122553880164
"538",37,15,142113948.233389,1676471.15514414,6605064.45348641,11655979.194838,13659280.1740865,14291883.3880383,11475273.7067324,10802001.6249689,10552866.2563314,10085411.5812252,9503807.70401017,9344285.32696436,8576448.99204069,7502213.23874634,6267564.96384735,4019552.66591574,2220366.99671998,3875476.81029305,142.113948233389
"539",38,15,147036031.934242,1744524.62934888,6874311.71556065,11936231.1941954,13905016.3106334,14534801.3504928,11788321.1494506,11204577.5795129,10939973.0765976,10450824.7437452,9845215.08876329,9699829.90178848,8962271.52061923,7868463.56460694,6583374.33117936,4247116.05454442,2349795.51712784,4101384.20607538,147.036031934242
"540",39,15,143432299.658506,1693835.78621825,6669798.38874884,11683633.8275387,13669161.0280907,14297439.7604805,11520274.2608179,10895532.1944934,10642377.3601802,10169127.6545061,9581782.90747665,9429027.35411553,8744807.91356923,7666137.09863845,6409048.79739661,4115063.08342479,2274787.93167371,3970464.31113672,143.432299658506
"541",40,15,144173828.332415,1712543.633972,6740710.87697087,11813907.9625054,13800788.2410408,14428080.705646,11641546.0961867,10879662.2481828,10627907.2336074,10156633.4974639,9571778.91572456,9413609.13133319,8783052.45179171,7696289.98022617,6432424.98412147,4160988.73729844,2299793.70194371,4014109.93439986,144.173828332415
"542",41,15,143263729.84893,1701157.52396791,6691229.07673521,11646433.3272153,13615997.1475652,14247931.3725634,11506862.3001569,10973592.7130996,10717615.0105847,10236929.5003355,9641960.44254005,9491392.82862693,8774841.13771447,7692059.68178006,6424995.80376396,3941049.70645775,2170771.15032408,3788911.12549952,143.26372984893
"543",42,15,144902191.78078,1716657.54803263,6746683.77834381,11819772.8054443,13807935.3989614,14451590.447716,11678155.0840672,11043009.227319,10784793.8076511,10304097.8708869,9707671.3239891,9553822.92628343,8781350.05250773,7694006.98787172,6431598.37546759,4125580.25894819,2278508.17731378,3976957.70997626,144.90219178078
"544",43,15,143385077.385955,1701160.24770362,6683059.73255846,11651347.7484464,13640099.072041,14285277.5958406,11510871.9345516,10948010.5752125,10694039.422336,10216911.5880166,9624563.5355259,9470289.94160468,8716117.34872972,7634457.44860853,6380142.06835762,4066334.33376959,2244607.70870692,3917787.08394541,143.385077385955
"545",44,15,146219373.981345,1744244.64182504,6850871.06065681,11833006.9825311,13800327.5620499,14442669.6330292,11709758.8507704,11143723.7136276,10882561.6949427,10395284.8740527,9791618.86972079,9643076.73175306,8922857.82152607,7836478.45153952,6557865.85114775,4234234.95476613,2342369.54207182,4088422.74533423,146.219373981345
"546",45,15,143808329.981068,1698269.41578623,6664099.34090139,11691374.3286038,13664655.0368222,14311269.6379458,11570095.6073473,11017969.1549488,10762144.9008444,10281723.5727844,9683714.37633403,9526573.92433557,8661103.65106477,7576047.43145765,6332693.50576515,4120301.97933169,2275167.42668712,3971126.69010792,143.808329981068
"547",46,15,144444151.488773,1706006.58491141,6690768.78539034,11681549.1771404,13653093.4560073,14299503.4820973,11565552.0505643,11019155.1313765,10762004.7205737,10282310.6563484,9685786.1091889,9534706.29597259,8758131.34802993,7677333.28867034,6424473.61314533,4251857.12608556,2350065.03491017,4101854.62836045,144.444151488773
"548",47,15,144377290.905104,1715060.97652561,6721451.86014735,11679010.5854337,13642209.1698738,14294326.3951063,11574946.5515653,11049298.6888518,10792553.8914021,10309945.7768205,9709546.79558948,9555400.9448418,8718421.82783563,7636241.2746522,6388791.11579259,4206630.98995056,2325126.93765109,4058327.123064,144.377290905104
"549",48,15,144552815.112417,1719162.31813779,6734993.6164563,11768655.2185302,13744525.5657134,14401087.999506,11660327.8711814,11100564.8544173,10841745.5060218,10356317.6030844,9752927.33631999,9595442.10981349,8687444.19693018,7597660.77512074,6349458.89650134,4074233.12598817,2246747.02495636,3921521.09373818,144.552815112417
"550",49,15,142207342.765542,1682574.01487554,6588822.94943096,11596734.0661813,13585453.8276252,14229015.0702284,11468117.4630233,10832336.6799411,10582103.9094122,10111809.3814316,9526692.56417346,9366963.73390104,8597947.2753186,7523043.54514,6287511.95279828,4064354.54848334,2245142.04947101,3918719.73410703,142.207342765542
"551",50,15,142788690.108483,1686826.28513341,6600821.43457635,11629527.5300934,13625836.8125208,14277470.3457709,11508609.7023714,10867550.8066341,10615892.5558934,10144732.6476008,9558240.22088949,9398998.17851827,8620821.04394952,7541905.09750725,6304812.82718455,4135665.60081797,2284158.72260184,3986820.29641974,142.788690108483
"552",51,15,142232148.886247,1689143.40847675,6608453.0509637,11530304.5469341,13510807.7602457,14160471.9388545,11423511.1668818,10914222.0176576,10659873.2054657,10183006.6897855,9591060.54178572,9438527.40170303,8624828.07204751,7548466.4079294,6307033.61437702,3997151.20915098,2201952.35890925,3843335.49507913,142.232148886247
"553",52,15,142209906.516893,1687658.37129843,6596503.64970329,11614204.3514584,13619194.2215419,14278575.928568,11496487.3293226,10809974.2153481,10557914.9224747,10088842.4499652,9507151.98393471,9350460.78542129,8626749.68622929,7545312.88904222,6301364.24383515,4026915.31637422,2222826.49664193,3879769.6757337,142.209906516893
"554",53,15,139746912.233659,1659280.24231393,6480547.33620328,11372928.2222745,13368753.1834219,14027357.294078,11265003.335477,10692893.6051249,10444755.7166601,9980243.87453716,9402859.19577803,9247990.28809113,8424784.7353541,7364527.88554504,6150577.28410845,3924551.42968722,2163550.52255657,3776308.08244739,139.746912233659
"555",54,15,141556986.794672,1685408.10045459,6580930.71480376,11506744.3290785,13496410.7445952,14156606.2990027,11404560.6212667,10800668.8728742,10551149.7135557,10081083.1181353,9496717.56991274,9338169.95726119,8563955.96448792,7491753.8871168,6260109.27043559,4033437.56290609,2225261.05724616,3884019.01153885,141.556986794672
"556",55,15,141742966.06224,1684259.26038668,6575643.85023808,11497389.1029021,13487407.4991398,14135467.4123838,11388017.7323929,10827566.225136,10576558.113446,10105964.7235128,9520405.82337697,9365478.03668238,8556122.84953995,7487413.81579216,6259965.41605458,4084987.29813578,2254778.86263994,3935540.04047981,141.74296606224
"557",56,15,140413215.709445,1668190.85442513,6506382.85223386,11362163.8634928,13353474.0169761,14012192.1510371,11264127.1284135,10604304.2895451,10360034.057216,9900587.77826343,9330492.52679919,9174764.76569074,8618965.94930812,7558336.91741594,6320177.53704269,4119506.57666256,2279982.83495532,3979531.60996692,140.413215709445
"558",57,15,141963894.750837,1683902.2297917,6562284.60775786,11461275.5800848,13438348.8372809,14109547.351577,11400004.3995706,10917783.0553007,10661257.2032283,10183396.76822,9591162.20856165,9441717.63559715,8628205.86890411,7552061.58655557,6309303.38990918,3988825.2744729,2198139.06546884,3836679.68855549,141.963894750837
"559",58,15,141592804.977379,1682921.08429025,6558915.34144815,11482652.4491253,13468005.5557867,14137657.873273,11409850.3645975,10791804.2707514,10538946.2253812,10068529.1611887,9486322.64744673,9334237.29435002,8660555.76417014,7585977.69535101,6336776.06992445,3996006.9215525,2204996.84698653,3848649.41175579,141.592804977379
"560",59,15,141774812.68998,1684745.11373045,6561535.53392271,11465891.9308466,13446794.1732898,14115275.1478882,11394851.7048879,10826839.6620576,10574286.1476192,10102219.5599711,9516578.97750746,9363349.75219958,8629698.2050378,7557237.01707173,6316233.97078959,4063979.40655188,2242022.16598604,3913274.22062196,141.77481268998
"561",60,15,139775630.81899,1658634.14684413,6453434.23624316,11390319.9737172,13389029.8412719,14059564.0480485,11307298.2190233,10576222.1595747,10330446.9875025,9872574.84224923,9304970.50315017,9147873.22977532,8529664.93336707,7468013.44996008,6238644.17285945,3993142.29647842,2205780.52254859,3850017.25637616,139.77563081899
"562",61,15,138172567.077159,1637802.03932206,6372776.20375116,11158745.3500871,13136940.9781339,13800711.6454333,11088648.3950679,10568090.5360133,10324441.3467039,9863821.9612263,9291628.52691204,9136449.85273873,8440758.11673818,7391193.94120651,6174024.80126774,3895439.58063806,2145788.29807052,3745305.50384803,138.172567077159
"563",62,15,138463473.115653,1638247.34664153,6362532.9929673,11197582.853608,13186911.4644831,13873491.3047628,11147054.7181458,10567656.4541565,10323170.3350264,9864217.43127871,9293542.65469823,9136245.09889917,8392844.98052813,7339540.14428949,6131959.21284198,3978934.05994467,2196217.06931954,3833324.9940614,138.463473115653
"564",63,15,135486426.234092,1599624.35879787,6210046.79581236,11111444.0242894,13133882.6970152,13804749.8686045,11014615.4184166,10289006.3422493,10052485.9974102,9610080.71472873,9059271.45676254,8895686.05369852,8141606.09498999,7096090.24060596,5918946.93125128,3799693.98694063,2094102.78456049,3655092.46795818,135.486426234092
"565",64,15,138113338.71335,1624851.80287288,6304264.2105336,11284497.1689911,13293342.8380771,13972881.5039472,11217828.8072622,10563303.5495062,10316735.2228836,9859951.75307217,9291685.41501107,9132392.42856125,8277705.80197401,7219246.85638668,6024567.7840789,3871496.520498,2133947.95024181,3724639.09945191,138.11333871335
"566",65,15,139023489.430048,1650814.98611959,6402856.56306187,11291445.4050544,13293612.3164149,13984989.0022073,11244148.3219502,10673333.1847738,10424630.317082,9960152.18232797,9382963.68343371,9225057.81456921,8354882.07060362,7291852.68961709,6087220.05841779,3883560.86802641,2138822.58021181,3733147.38617615,139.023489430048
"567",66,15,137744595.901313,1630951.18001042,6324392.98797427,11208524.5882477,13216634.8888966,13897894.3564975,11141683.969887,10488233.6802853,10245458.791645,9791771.60923578,9227730.50862742,9068408.52398604,8323028.73363507,7266551.6372941,6065952.10617331,3917523.88726502,2159906.58253467,3769947.86911775,137.744595901313
"568",67,15,138052681.631795,1634852.71126387,6337334.896318,11183522.6863566,13179464.7410927,13859612.6362222,11136203.8938595,10565254.9310913,10318103.5249356,9857771.17560079,9288056.55965203,9135181.05271546,8440229.43253506,7379791.93720987,6157450.41955834,3814866.91917283,2099853.76247933,3665130.35173181,138.052681631795
"569",68,15,137315319.574326,1620735.27396187,6274799.76933819,11120186.9056873,13120965.5819693,13807677.3213941,11078111.5287573,10554570.3032273,10310833.2061015,9852059.68589603,9280560.05609601,9120101.16924034,8255674.64810397,7201457.76892041,6011058.75271294,3865587.15833643,2127520.30280829,3713420.14177444,137.315319574326
"570",69,15,137981896.134054,1635166.48983707,6327503.41446305,11174887.3600275,13181397.8037958,13878136.7704254,11140561.6397063,10583615.0758981,10335240.0131123,9875459.82146504,9304904.08417783,9152319.32905336,8324510.47481827,7267562.02522163,6066644.51094012,3874191.55961621,2134388.21471569,3725407.54678049,137.981896134054
"571",70,15,136574843.792193,1615686.73483684,6245782.70485433,11058470.330438,13057930.4514355,13749620.6737955,11025251.9637631,10420898.8884189,10178658.3864523,9726583.51992584,9165648.06983069,9009618.2368106,8307404.39581764,7258483.6894086,6058850.87812161,3857285.00740402,2126693.25922551,3711976.60165364,136.574843792193
"572",71,15,134461498.57232,1593415.57753398,6157594.1905424,10957807.5933431,12973679.286625,13651701.7277574,10894214.5896165,10249452.6146447,10013838.6480014,9572274.49862468,9021966.0691685,8861044.67625951,8062000.07146742,7027819.49040858,5864952.87617895,3804066.95366612,2096461.05800721,3659208.65047508,134.46149857232
"573",72,15,136505863.268652,1614656.04378632,6239379.32455015,11145480.292214,13155467.4047333,13849501.7626652,11102748.3552922,10475485.1059766,10232269.9867877,9778867.10396865,9213929.1708584,9051399.77012279,8120121.6806634,7066616.03924287,5894508.35583485,3809610.98525994,2096516.48781338,3659305.39888201,136.505863268652
"574",73,15,136904231.12089,1618466.53134152,6249157.21814307,11055475.9504352,13056772.7215168,13754479.8110914,11033994.8571524,10471422.4028213,10228403.7614392,9773368.14752073,9208052.13648462,9050981.82726016,8318100.88853555,7268559.44747717,6068873.65176742,3879168.51957355,2137723.76262257,3731229.48570691,136.90423112089
"575",74,15,134250096.332003,1594731.8874123,6154505.29659938,10913039.9168566,12923025.2815471,13611592.3092535,10869608.9032584,10245871.9100602,10010533.4196575,9567395.77020524,9016151.96150656,8854712.91839663,8105093.25815554,7067718.11392483,5895458.27696637,3751703.9056842,2064875.20205966,3604078.00045928,134.250096332003
"576",75,15,138481917.654308,1639231.50471851,6321812.4990792,11173286.3022037,13157962.7621023,13860298.7321473,11180830.4064973,10682609.7425957,10432444.8967273,9965563.59684684,9385582.22345748,9229470.84978875,8359221.93570573,7300732.13433782,6095752.03602607,3863637.43675541,2124803.10702626,3708677.48829269,138.481917654308
"577",76,15,135274830.792935,1588333.89040583,6122238.52745899,10939104.775588,12942899.9745554,13641685.4901101,10927532.2589937,10353475.6578694,10113316.261131,9664230.13713172,9106266.57287695,8947638.36757275,8228529.14007468,7184676.49663509,5995246.04590495,3791775.44772373,2086339.49604366,3641542.25285863,135.274830792935
"578",77,15,136945354.587704,1614028.39481242,6220687.11427406,11153928.0561524,13167128.4815386,13867563.8573313,11134609.6920051,10403642.9895194,10160080.1003831,9710652.60765109,9153427.95352054,8994581.00596291,8318302.67289819,7266519.63716989,6064449.31195594,3865037.63755601,2131080.64076251,3719634.4342102,136.945354587704
