"","relative_coverage","vaccine_efficacy","total_infections","age0","age1","age5","age10","age15","age20","age25","age30","age35","age40","age45","age50","age55","age60","age65","age70","age75","infection_per_million"
"14",13,10,151254430.951434,1803656.27071066,7217385.20399804,12381441.0248195,14323932.9075627,14904756.2930781,12114267.6484264,11493014.1539764,11226928.6859998,10723400.0359987,10098808.0666978,9945353.02072585,9217306.33847216,8097200.90940056,6775512.76318203,4338842.19529166,2401316.08714356,4191309.34595024,151.254430951434
"15",14,10,152146794.317748,1814889.23781632,7260181.01533205,12386212.6539723,14317760.3214166,14900563.4312296,12136599.9979268,11588543.6448232,11317786.1535223,10808989.2753075,10178395.8722396,10032021.3038964,9287751.66713039,8172353.94596507,6844575.69092051,4404141.65777851,2438979.8826568,4257048.56581355,152.146794317748
"16",15,10,151642027.997225,1803226.8347115,7211138.30360706,12367864.7965089,14305204.3351721,14888906.5270631,12114105.3984751,11536495.1014129,11268891.3528967,10764274.312041,10136939.3743101,9985083.36256041,9197179.08572762,8082411.87162267,6769515.40701371,4449218.82277561,2462854.04889659,4298719.06242984,151.642027997225
"17",16,10,150822523.40278,1795854.07280921,7179584.34073328,12364864.9141265,14312176.6778296,14895499.8249012,12105576.3767272,11467985.5281725,11201090.4888932,10698746.4275511,10076395.5460979,9924072.73513257,9198589.96138765,8079736.00546987,6758687.7809528,4275297.99724379,2363339.88321196,4125024.84153922,150.82252340278
"18",17,10,150327394.270942,1783843.92927497,7129264.66614912,12292499.169828,14244152.363279,14824574.7179638,12029624.8025206,11363066.919535,11098784.6998952,10604548.6849862,9990772.83286751,9840925.72260229,9137177.74224104,8029166.48411626,6724225.7532211,4452036.46653248,2470560.04239304,4312169.27353642,150.327394270942
"19",18,10,150882160.378012,1792252.0213996,7160290.91915264,12309197.0612395,14257906.8361643,14842085.5945748,12057701.3744166,11418049.7014698,11150643.7282029,10651850.6921284,10034775.5514522,9889414.32004587,9277991.88669739,8166586.66656287,6837491.91894075,4378367.29850877,2424966.13888342,4232588.66817252,150.882160378012
"20",19,10,152453797.143262,1819808.76352307,7268870.11980694,12440375.1917936,14377376.2973237,14961930.6546424,12194675.1439774,11551802.9043984,11279482.5781473,10775306.7755494,10150461.0931314,10007525.5417479,9249678.63526811,8136848.02754619,6818519.21239983,4523320.19290137,2512479.53320862,4385336.47789622,152.453797143262
"21",20,10,153871349.469898,1832263.37415098,7315566.75961642,12494250.2781994,14417379.0814376,15012355.9178174,12279653.228307,11744984.7440353,11466639.164405,10949493.8254705,10310223.7847826,10168894.996479,9429695.86762671,8300537.12965238,6951733.59419325,4444511.90825317,2459791.75259162,4293374.06287958,153.871349469898
"22",21,10,154398003.326925,1835344.94222188,7325377.84923657,12452242.8223123,14367518.9577511,14962490.667804,12248312.7653961,11749923.119993,11471790.007479,10954595.1248049,10315058.3200568,10176874.7949898,9534703.91130452,8415115.85291868,7056691.89911247,4573139.87965431,2534700.67053018,4424121.74135914,154.398003326925
"23",22,10,149938461.214274,1779519.72314487,7099540.21829926,12278362.6526728,14232262.2232005,14822142.4344571,12034484.9852561,11438281.8967637,11170624.9360095,10669786.6071732,10049357.8913143,9899615.32288448,9125313.88481663,8010366.69015463,6699226.57042086,4223577.6719196,2333338.22338833,4072659.28239858,149.938461214274
