"","relative_coverage","vaccine_efficacy","total_mortality","age0","age1","age5","age10","age15","age20","age25","age30","age35","age40","age45","age50","age55","age60","age65","age70","age75"
"17",0.16,0.1,106370.289655495,171.476304614309,687.575320026786,520.351494219354,599.245360432495,3445.50003201533,6510.75022619006,6275.54203791946,6124.48544380966,5845.34180219659,5502.64972975914,5435.33510871436,9162.45767103692,8090.37361380363,6776.03681020884,16319.3610443811,9071.031571757,15832.7760844098
"18",0.17,0.1,101657.398205569,151.567222787914,607.4265018113,490.835142993853,572.879675794709,3677.98511544368,6732.74769804061,6116.82560846715,5980.42313322358,5719.6713048814,5396.04903896812,5294.47584081223,8593.24269223542,7522.06423565249,6267.07620771441,15295.3647579552,8464.55164293844,14774.2123858487
"19",0.18,0.1,108578.470922765,163.385833907255,654.752280890034,450.952379224747,519.345506930659,3915.40114331852,7574.71296700367,7225.34525761706,7052.55358708624,6733.42385193051,6340.57956703512,6255.7257708989,8742.91021149429,7702.37446880235,6445.07616928601,15396.8153787586,8525.14423229658,14879.9723162847
"20",0.19,0.1,105386.877162088,164.140941180262,657.63015975981,444.658612740873,516.901732946797,3275.96109329666,6151.0284990561,5771.33253132489,5636.90422329626,5388.33471126591,5078.54287841927,4999.15247394133,8584.15443550914,7524.14312936071,6297.16329568635,17782.0180470707,9876.37333687732,17238.4370603557
"21",0.2,0.1,98723.2401713738,143.572549689754,575.066322853682,523.649615675546,607.178608254855,3503.47612600903,6514.70695444574,6021.95652899662,5883.75517909605,5622.48167972552,5299.25582951654,5210.37528510688,8296.015676106,7277.80776539192,6083.94582854968,14753.2857733935,8161.48212524198,14245.2283233206
"22",0.21,0.1,107012.106908611,166.370656569889,666.303926342241,510.255563733643,585.896985958964,3753.40894284396,7205.63621511946,6761.94555460233,6599.9345068563,6303.99952155023,5939.28477221439,5858.80628882946,8876.21858850931,7852.72532898319,6587.03019651227,15563.5405754825,8661.96568269581,15118.7836018068
"23",0.22,0.1,106219.565110912,181.154287707026,725.442173272483,511.439355523046,589.102506846404,3620.7044840477,6878.74911842624,6560.18276278044,6403.28350684393,6114.37838974375,5758.07145712228,5681.85272857617,8885.01585574824,7827.68848434107,6560.34732227237,15811.5701465246,8782.1050723446,15328.4774587912
"24",0.23,0.1,98886.3709066866,176.889274607555,708.071423237706,473.959248556197,542.701815613732,3033.13897434692,5737.97254370988,5419.44596637314,5289.6691109716,5050.50325469077,4756.47655561333,4691.10005463076,9114.16940084275,8035.83786637018,6721.10299743287,15539.5920285449,8594.57761803905,15001.1627731053
"25",0.24,0.1,102787.356477242,137.164713547912,549.080382324727,468.359600499067,542.309865252189,3539.08345145808,6793.09758999125,6458.25603421787,6306.84401198107,6023.32085234387,5672.27828140058,5588.80609789424,8331.69427707535,7314.8514203074,6115.32567784975,15460.9706613964,8554.57402710363,14931.3395325982
"26",0.25,0.1,100187.813160765,140.535472075506,562.378023798168,430.057187545188,500.806379256267,3437.66321646047,6636.44084756368,6200.83770862918,6056.30015846694,5787.56781445544,5454.07318874455,5370.91859321005,8139.57805067631,7144.39147146019,5977.38463433604,15203.112255608,8430.67850278137,14715.0896556981
