"","relative_coverage","vaccine_efficacy","total_infections","age0","age1","age5","age10","age15","age20","age25","age30","age35","age40","age45","age50","age55","age60","age65","age70","age75"
"2046",0.45,0.3,136581488.606489,1599853.51888541,6093688.65647707,10989957.3439196,12974210.4863646,13729841.4295688,11098786.3560693,10517672.869922,10267315.3057893,9807941.98994263,9239680.36077742,9083133.32579579,8328278.46775705,7274418.83439002,6069170.30672263,3787054.05288142,2083645.39382823,3636839.90739767
"2047",0.46,0.3,130380001.737679,1545618.30043044,5880991.04026427,10520645.5426339,12548391.5084698,13304629.5816097,10578389.3181579,9951338.91782157,9720671.51966562,9292443.92073558,8759476.45619373,8599413.72134309,7824747.1659753,6815405.48826091,5686158.94162241,3722763.30386378,2050292.31065277,3578624.69997864
"2048",0.47,0.3,124777744.426967,1470162.86698155,5576893.56507148,10128805.5455169,12138256.6751011,12880159.1899183,10186717.4849654,9532377.97781382,9317195.88080246,8905474.02471056,8393388.70701294,8221957.8561806,7588731.63465774,6595896.85278903,5486978.52599336,3333097.00356982,1829099.95492381,3192550.68095851
"2049",0.48,0.3,132162024.704879,1550155.56596911,5875810.77038229,10701278.6560278,12711834.3216473,13498539.9323542,10830889.1228585,10177615.5153418,9932850.76995482,9490515.87593489,8944600.13501899,8791523.91510262,7994857.32786286,6963370.39510953,5800609.44502788,3547673.70132193,1948662.12457234,3401237.13039232
"2050",0.49,0.3,131073178.179218,1565843.24746862,5933207.81348858,10564819.2711489,12554444.3392464,13321454.2461506,10674249.0600932,10029986.1682171,9798056.98839383,9362557.39003391,8821758.93160073,8656507.52591253,7927671.98344838,6902455.93156717,5752764.79958313,3671438.35487724,2016434.17141847,3519527.95656881
"2051",0.5,0.3,127945815.632333,1500316.59811553,5674077.99146729,10271314.4162476,12263418.9865736,13006549.0494358,10380249.9365184,9849629.99288012,9620808.82471347,9192789.08859582,8662250.92499489,8502372.26548869,7835036.62692642,6819076.71788366,5677652.5147979,3471871.86322715,1900764.41805292,3317635.4164142
"2052",0.51,0.3,129384046.137575,1529951.71000642,5781283.01997872,10429397.2058458,12440627.382221,13224317.1055116,10562028.943859,9917740.83002994,9683286.1488255,9252730.78673689,8721386.58195638,8564900.21121308,7915777.41309068,6900187.07896371,5745182.63850414,3477450.62050681,1907830.22628784,3329968.23403753
"2053",0.52,0.3,122692669.794968,1429826.83524433,5388012.8780758,10037696.224019,12061577.7327181,12816391.6229909,10119638.1683041,9415088.92400825,9200058.63297818,8797565.42868,8294093.12684152,8120057.43824438,7262636.56537328,6284403.66755488,5226928.26031617,3290390.06148042,1802384.05991029,3145920.16822854
"2054",0.53,0.3,126061526.118637,1470131.4967318,5545068.90115532,10118431.7085461,12140890.0924634,12913008.4373353,10231133.2354462,9699297.85023929,9473951.28516144,9058030.48383858,8538529.40832853,8377824.13263823,7515219.94423692,6525123.36613946,5439989.47438532,3593875.61763287,1974567.58742103,3446453.09693694
"2055",0.54,0.3,127668959.814077,1520096.7059231,5728960.82365525,10328543.6458402,12328988.110717,13107007.3333583,10449889.8281241,10003375.4420032,9772305.76362965,9340345.70761395,8796126.52988522,8627214.32411607,7244537.14484962,6248020.36128787,5208235.86141762,3580847.89314296,1961252.20459951,3423212.13391291
