relative_coverage,vaccine_efficacy,total_infections,age0,age1,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75
0.10000000000000001,0.01,197634818.12014654,2451992.8751093,9852785.8043557536,15835533.258270402,17232840.862202965,17820031.900727235,16193637.037224287,15317204.300094455,14834260.003969189,14129626.299716672,13311803.337148393,13401557.237656837,12943934.474086024,11741918.959728647,9903857.3652442154,5000818.1771840509,2791198.1408752953,4871818.0865528202
0.11,0.01,203439327.72980645,2486524.0297643468,9991299.3284385577,15686936.859229714,17113953.738435946,17705213.002400629,15998257.0226996,15403947.260656495,14926753.418018514,14226880.174557984,13405969.429386679,13501468.021258006,13541513.749957215,12478406.274144813,10633304.261231851,6373667.3348484207,3629764.1391471922,6335469.6856305227
0.12,0.01,210503054.26241729,2684409.0528181302,10786443.441597736,16407910.911676809,17681917.249955524,18243740.849337593,16877071.269043896,16161829.049843481,15612920.819222003,14886813.990629664,14043336.43644074,14259204.433602834,13205360.977249783,12162270.283027044,10385118.273133934,6631066.9490643535,3814947.4874102687,6658692.7883635089
0.13,0.01,208022683.62885594,2558488.7539662481,10280060.807221023,15945128.979876105,17252544.269518357,17826683.04236811,16369678.343063289,16286179.182163918,15756018.954835892,15021083.282474726,14151008.293746654,14323007.624857455,12597517.256455541,11519270.257610967,9841835.6275626272,7104237.7046586853,4075854.9016047209,7114086.346871607
0.14000000000000001,0.01,238013273.94510019,2935626.0433241865,11795791.084727556,17220718.241985612,18326965.975244228,18915147.729082488,17924292.366444118,18004483.802664846,17354635.027771465,16540066.026055947,15606296.92104969,15976499.178016027,15464166.40616343,14489905.309106901,12484475.527159665,9435082.2207097113,5660012.3568085507,9879109.7287857458
0.14999999999999999,0.01,206894095.61507207,2556499.8806570033,10271514.886368573,15551161.659266463,16849235.6985052,17402515.400328599,16015347.680209722,15994997.563225586,15452414.664394274,14735456.123597547,13896097.845171386,14128919.183646306,12630792.50038344,11643270.746041866,9988538.8201046921,7598239.794155498,4436146.287025786,7742946.8819901468
0.16,0.01,232857635.42279661,2965153.7418865087,11913963.252499692,17143992.272033926,18249578.599982131,18844795.842287369,17856148.548201226,17730666.768891104,17104245.523412142,16284705.539034238,15356163.77637752,15683674.664275398,16326471.656118322,15338220.452128043,13142162.975029062,7348178.7284701075,4214111.178510732,7355401.9036590606
0.17000000000000001,0.01,231174784.8271718,2944407.0732711484,11830787.814208373,17153064.166874893,18184399.949405231,18752242.851560783,17933080.348798677,17343527.756972767,16743153.212231258,15951378.906874102,15040632.845186174,15326944.925175482,15344319.507748116,14379120.975200633,12370896.656823773,8409692.4827859607,4905306.2751852721,8561829.0788691156
0.17999999999999999,0.01,230209993.65961453,2874356.3730010474,11548553.265246579,16954804.042028878,18114429.815715261,18716701.323745586,17554176.93678705,17757335.099759225,17171395.772145636,16357516.12362132,15402297.64836539,15630952.595170343,14536778.831501815,13417022.445680659,11510436.462930145,8746989.9694695957,5068891.9058187436,8847355.0486272909
0.19,0.01,202027196.72614002,2432182.1528093601,9771030.4304552376,15074052.779344017,16549917.521298081,17149508.15262514,15342694.462257713,15415140.442228207,14945905.084811797,14241332.754554113,13412212.453181442,13516990.238049189,13496063.373835525,12393003.558266092,10551839.010255663,6922008.0949758124,3938671.9760219455,6874644.2411707193
0.20000000000000001,0.01,235291814.93822446,2962085.0635906188,11900865.288758101,17346171.116087284,18434244.068431608,19029648.765733715,18034764.768908821,17875919.602389503,17275790.79101884,16455447.337798417,15501075.151590973,15754676.125237489,15244543.528356034,14186906.456821794,12192390.120112907,8891217.0432843752,5174457.7344788983,9031611.9756250698
0.20999999999999999,0.01,221323246.10317105,2724475.686513409,10945541.250621134,16507457.761440288,17761234.738964308,18342257.534639016,17036798.648673583,16711181.616914609,16134018.162170261,15382882.264618779,14516708.410723889,14784417.849500567,14930126.861887539,13976329.884016175,12001905.532864274,7591874.7213170808,4362183.8922970276,7613851.2860090733
