relative_coverage,vaccine_efficacy,total_hospitalizations,age0,age1,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75
0.14000000000000001,0.001,4331780.315904391,17454.400893117658,70150.897897142539,58275.759869190741,61134.340113578692,218036.74453249536,436166.3819553238,421666.8244839207,407580.39176171779,388311.4361930521,365945.22143221233,372410.25163811829,319159.65022451238,300920.51599551947,260581.40973951391,238489.27720704893,144056.83966453612,251439.97230339082
0.14999999999999999,0.001,4331768.019833521,17454.348076359598,70150.528298144185,58275.557422675673,61134.186152690469,218036.32132637271,436165.27032489708,421665.61590391502,407579.26900701784,388310.43264179811,365944.30510520923,372409.25070952944,319158.5377082185,300919.49285181501,260580.75285055555,238488.54475376316,144056.40065467299,251439.20604588542
0.16,0.001,4331755.7236772273,17454.295259211875,70150.158696955099,58275.354971766057,61134.032180407572,218035.89808455209,436164.15867947339,421664.4073215017,407578.14624857932,388309.42908506573,365943.3887703428,372408.24977493397,319157.42519098602,300918.46971281501,260580.09596729398,238487.81230508088,144055.96164301402,251438.43978524837
0.17000000000000001,0.001,4331743.4279548768,17454.242443809431,70149.78910217504,58275.152528366256,61133.87821838777,218035.47487843366,436163.04708576505,421663.19877953723,407577.02353000559,388308.4255704385,365942.47247934679,372407.24888443941,319156.31270662992,300917.44659902668,260579.43910288229,238487.0798722826,144055.5226376832,251437.6735356678
0.17999999999999999,0.001,4331731.1293280544,17454.189616292988,70149.419458086952,58274.950050061561,61133.724235858856,218035.05160393854,436161.93520855467,421661.98993943603,407575.90052752441,388307.42178958101,365941.55594117375,372406.24773644091,319155.200000123,300916.42327140062,260578.78205275416,238486.34727001854,144055.08352613187,251436.90710067705
0.19,0.001,4331718.8349684579,17454.136806309154,70149.049883837899,58274.747622965464,61133.570293302393,218034.6284674714,436160.8237564601,421660.78153390723,407574.777940289,388306.41840267263,365940.63977318397,372405.2469716242,319154.08762144571,300915.40025385772,260578.12526884285,238485.61490821972,144054.6445543773,251436.14090969128
0.20000000000000001,0.001,4331706.5373031041,17454.083982354099,70148.680252827326,58274.545151232363,61133.416311481276,218034.20519969059,436159.7119644304,421659.57279448316,407573.65503193199,388305.41471122071,365939.72331876174,372404.24591470108,319152.97499561321,300914.37700908951,260577.46829130111,238484.88237062353,144054.20547409591,251435.37452926597
0.20999999999999999,0.001,4331694.2430566829,17454.031172687399,70148.310678602415,58274.34272120161,61133.262362831556,218033.78204703474,436158.60051899235,421658.36440635036,407572.53246003343,388304.4113383292,365938.8071625189,372403.24516384985,319151.8626322787,300913.35401002131,260576.8115236763,238484.1500220047,144053.76650075361,251434.60833551569
0.22,0.001,4331681.9482261725,17453.978360457866,70147.941093481699,58274.140281644752,61133.108398815086,218033.35884406534,436157.48900868261,421657.15596175124,407571.40983241866,388303.40791322355,365937.89095752395,372402.24436641071,319150.75022983545,300912.33097837231,260576.15472888446,238483.41764820853,144053.32751035749,251433.84211203898
0.23000000000000001,0.001,4331669.6506790593,17453.925536304359,70147.571459808343,58273.937801143264,61132.954416415094,218032.93558060392,436156.37721347797,421655.94723959162,407570.28693766356,388302.40423250111,365936.97451072244,372401.24332111265,319149.6376213425,300911.30775810988,260575.49777414836,238482.68512882534,144052.88842483793,251433.07572245118
0.23999999999999999,0.001,4331657.354475257,17453.872718591821,70147.20185140903,58273.735353735319,61132.800461106992,218032.51240977683,436155.26559752255,421654.73864526959,407569.16417263448,388301.40068697953,365936.05820179422,372400.24240684503,319148.52510875004,300910.2846041536,260574.84086702409,238481.95265062913,144052.44936366632,251432.30937536884
0.25,0.001,4331645.0653194515,17453.819928943754,70146.832355183869,58273.532975515554,61132.646523853313,218032.08930181895,436154.15462852194,421653.53078036098,407568.04209257429,388300.39778655238,365935.14249498257,372399.24214165518,319147.41315668361,300909.26201027102,260574.1844494328,238481.22061721253,144052.0105738744,251431.54350201468
0.26000000000000001,0.001,4331632.7630481962,17453.767086133365,70146.462644674582,58273.330442467523,61132.492512204859,218031.66594693661,436153.04239774408,421652.32158493903,407566.91875200532,388299.39368438744,365934.22565095581,372398.24066853849,319146.30018551816,300908.23843175604,260573.52718128901,238480.48780979079,144051.57129459039,251430.77677426467
0.27000000000000002,0.001,4331620.4648256088,17453.714259774857,70146.092999674278,58273.127957321849,61132.338512664079,218031.24263325467,436151.93055815995,421651.11280435283,407565.79580355011,388298.38995884202,365933.3091652221,372397.2395784168,319145.18753544538,300907.21516345209,260572.87017989316,238479.75524391088,144051.13216459975,251430.01030707479
0.28000000000000003,0.001,4331608.1676108511,17453.661436691527,70145.72336719594,58272.925485292268,61132.184543588439,218030.81942332568,436150.81881833536,421649.90410786675,407564.67293669283,388297.38631771348,365932.39276760136,372396.23858070699,319144.07495711226,300906.19195922272,260572.21323189416,238479.02272605739,144050.69306267417,251429.24388887925
0.28999999999999998,0.001,4331595.8774470799,17453.608643461681,70145.353854118366,58272.723076039052,61132.030563652595,218030.39618143486,436149.70773107011,421648.6961820242,407563.5507934565,388296.38334083889,365931.47696893784,372395.23821992066,319142.96294975159,300905.16932988696,260571.55678901463,238478.29066572877,144050.25422529571,251428.47793244835
