relative_coverage,vaccine_efficacy,total_population,total_unvaccinated,total_vaccinated,unvaccinated_total_infections,vaccinated_total_infections
0.41000000000000003,0.31,323127513.0,209274077.18894222,113853435.81105778,139979902.00157306,65435672.310218662
0.41999999999999998,0.31,323127513.0,206497164.12037989,116630348.87962012,136471555.15956464,65482711.50532198
0.42999999999999999,0.31,323127513.0,203720251.05181748,119407261.94818246,138648226.37482905,70079150.660737127
0.44,0.31,323127513.0,200943337.98325515,122184175.01674487,125796134.44659504,64862546.516375847
0.45000000000000001,0.31,323127513.0,198166424.9146927,124961088.08530726,131565887.37182912,70692268.268918842
0.46000000000000002,0.31,323127513.0,195389511.84613034,127738001.15386964,135636560.19342479,76328814.662385374
0.47000000000000003,0.31,323127513.0,192612598.77756801,130514914.22243202,123269173.21876095,70471470.326500371
0.47999999999999998,0.31,323127513.0,189835685.70900559,133291827.29099439,125794248.59728731,75018380.111855358
0.48999999999999999,0.31,323127513.0,187058772.64044327,136068740.35955679,122889139.62894942,76100492.626285642
0.5,0.31,323127513.0,184281859.57188079,138845653.42811921,136227726.97835404,89211396.754852965
0.51000000000000001,0.31,323127513.0,181504946.50331843,141622566.49668157,119289572.62152059,78718834.242312387
0.52000000000000002,0.31,323127513.0,178728033.43475601,144399479.56524396,108892084.73745798,73579406.862524316
0.53000000000000003,0.31,323127513.0,175951120.36619365,147176392.63380635,113838922.50324187,80920357.718492538
0.54000000000000004,0.31,323127513.0,173174207.29763129,149953305.70236871,111326769.16380124,81734089.664630741
0.55000000000000004,0.31,323127513.0,170397294.22906888,152730218.77093112,110234163.80209692,83688818.859039947
0.56000000000000005,0.31,323127513.0,167620381.16050649,155507131.83949351,112022415.49059482,87500796.964336261
0.57000000000000006,0.31,323127513.0,164843468.0919441,158284044.9080559,111984262.66323523,90803328.148883253
0.57999999999999996,0.31,323127513.0,162066555.02338174,161060957.97661823,101259685.40832616,84307951.836142242
0.58999999999999997,0.31,323127513.0,159289641.95481941,163837871.04518059,101666016.3366024,89090785.931576461
0.59999999999999998,0.31,323127513.0,156512728.88625699,166614784.11374301,98386956.344539627,87616235.424785897
0.60999999999999999,0.31,323127513.0,153735815.81769463,169391697.18230537,102449183.50277302,94789621.288269877
0.62,0.31,323127513.0,150958902.74913225,172168610.25086772,97283987.367992952,91898596.705255434
