relative_coverage,vaccine_efficacy,total_infections,age0,age1,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75
0.17999999999999999,0.001,258993429.6919589,3351860.1066513066,13471323.834296789,18335387.947840896,19234860.769470144,19826726.06115824,19192915.606201254,18554858.491674088,17935012.733760189,17087120.571640018,16102930.661804279,16387403.638534866,17189953.810724262,16207598.738547098,14034981.186393484,12067857.434562685,7289457.9946287265,12723180.104070541
0.19,0.001,258992669.5551191,3351849.9651504606,13471252.862157784,18335324.257018957,19234812.333619524,19826687.583812296,19192866.697748698,18554805.316873625,17934963.335313078,17087076.418501347,16102890.346650466,16387359.600778297,17189893.897119436,16207543.638009604,14034945.811486855,12067820.375678981,7289435.7818332613,12723141.33336639
0.20000000000000001,0.001,258991909.22374332,3351839.8209667224,13471181.879114188,18335260.552154474,19234763.885422014,19826649.094516966,19192817.774337448,18554752.127379239,17934913.922735315,17087032.251953151,16102850.018891705,16387315.550164502,17189833.970204454,16207488.525227956,14034910.426154492,12067783.30789944,7289413.5635451702,12723102.553076128
0.20999999999999999,0.001,258991149.0892711,3351829.6795268245,13471110.906982513,18335196.860412579,19234715.447658196,19826610.61569716,19192768.866175037,18554698.953338709,17934864.524964482,17086988.09942751,16102809.704255756,16387271.513015727,17189774.05742836,16207433.425680505,14034875.052124133,12067746.249680081,7289391.350669804,12723063.782233706
0.22,0.001,258990388.91655496,3351819.5375939631,13471039.932754396,18335133.16567032,19234667.005061746,19826572.132303983,19192719.9551557,18554645.776814278,17934815.124740254,17086943.944609061,16102769.387475561,16387227.47382199,17189714.142543033,16207378.324377729,14034839.676630136,12067709.190192632,7289369.1369296294,12723025.009880576
0.23000000000000001,0.001,258989628.58830482,3351809.3933720631,13470968.949203461,18335069.45804796,19234618.556681018,19826533.643402364,19192671.03160198,18554592.588077988,17934765.712759122,17086899.778533842,16102729.060058206,16387183.423716508,17189654.216562275,16207323.212921163,14034804.29252669,12067672.123335034,7289346.9183771834,12722986.229127934
0.23999999999999999,0.001,258988868.34727359,3351799.2503873082,13470897.970504787,18335005.760838047,19234570.11682101,19826495.162929304,19192622.115936272,18554539.404967908,17934716.306488402,17086855.618409451,16102688.738703225,16387139.379380792,17189594.295745824,16207268.105032407,14034768.910982065,12067635.058561094,7289324.701056757,12722947.450528946
0.25,0.001,258988108.48743689,3351789.1127915201,13470827.013350962,18334942.085393831,19234521.68264636,19826456.68817164,19192573.2287434,18554486.253952362,17934666.930363551,17086811.486674089,16102648.443846112,16387095.363606561,17189534.405120544,16207213.027308283,14034733.555808768,12067598.016294731,7289302.4974697512,12722908.695894388
0.26000000000000001,0.001,258987347.89513478,3351778.9649871737,13470756.015043592,18334878.361241203,19234473.225061752,19826418.190962691,19192524.286021881,18554433.044388894,17934617.49876548,17086767.302058287,16102608.098939285,16387051.294679029,17189474.459608465,16207157.896551879,14034698.154821722,12067560.934860332,7289280.269111638,12722869.898031475
0.27000000000000002,0.001,258986587.52443498,3351768.8203426218,13470685.029314073,18334814.652156353,19234424.771286029,19826379.697499774,19192475.360515039,18554379.853078753,17934568.084426533,17086723.13401217,16102567.769805988,16387007.242601013,17189414.531382661,16207102.782502741,14034662.76820364,12067523.865648532,7289258.0483091129,12722831.113349941
0.28000000000000003,0.001,258985827.21980834,3351758.6763252108,13470614.045995766,18334750.947200276,19234376.327097233,19826341.213470522,19192426.439401887,18554326.665477309,17934518.673675451,17086678.969681147,16102527.444549557,16386963.194595737,17189354.607025128,16207047.671910446,14034627.384460004,12067486.798868336,7289235.8289260985,12722792.3311483
0.28999999999999998,0.001,258985067.28415608,3351748.5380420932,13470543.085601777,18334687.261993051,19234327.879487365,19826302.726532046,19192377.54699843,18554273.511780057,17934469.294764884,17086634.834584452,16102487.145650027,16386919.174615189,17189294.713423513,16206992.592278711,14034592.027922183,12067449.75524139,7289213.6229290497,12722753.572311891
