relative_coverage,vaccine_efficacy,total_population,total_unvaccinated,total_vaccinated,unvaccinated_total_infections,vaccinated_total_infections
0.94000000000000006,0.001,323127513.0,62097684.55513595,261029828.44486409,33016843.066108547,125177226.82282063
0.95000000000000007,0.001,323127513.0,59320771.486573562,263806741.51342645,36055167.209068403,134345587.48676893
0.95999999999999996,0.001,323127513.0,56543858.418011203,266583654.58198875,38156470.010949627,158269955.69129187
0.96999999999999997,0.001,323127513.0,53766945.349448815,269360567.6505512,33573640.022884019,146386919.66755262
0.97999999999999998,0.001,323127513.0,50990032.280886419,272137480.71911353,41019441.924567066,180064039.50967318
0.98999999999999999,0.001,323127513.0,48213119.212324031,274914393.78767598,32665370.667559914,150063492.98605388
0.0,0.010999999999999999,323127513.0,323127513.0,0.0,171694245.0595482,0.0
0.01,0.010999999999999999,323127513.0,320350599.93143761,2776913.0685623838,223452324.97568768,1870210.4914131626
0.02,0.010999999999999999,323127513.0,317573686.86287516,5553826.1371247675,219239815.03034481,3693419.4983385713
0.029999999999999999,0.010999999999999999,323127513.0,314796773.79431289,8330739.2056871485,201539774.5358277,5194111.7135666776
0.040000000000000001,0.010999999999999999,323127513.0,312019860.72575051,11107652.274249535,159312574.49796957,5453060.6623050803
0.050000000000000003,0.010999999999999999,323127513.0,309242947.65718806,13884565.342811918,173550868.25079757,7572184.6154038515
0.059999999999999998,0.010999999999999999,323127513.0,306466034.58862573,16661478.411374297,122601236.45508973,6388740.7429740829
0.070000000000000007,0.010999999999999999,323127513.0,303689121.52006334,19438391.479936689,160623392.921278,9974925.1801361702
0.080000000000000002,0.010999999999999999,323127513.0,300912208.45150089,22215304.54849907,125913418.53487575,8912108.7019896656
0.089999999999999997,0.010999999999999999,323127513.0,298135295.3829385,24992217.617061447,135445245.71383461,10955769.816200284
0.10000000000000001,0.010999999999999999,323127513.0,295358382.31437606,27769130.685623836,189874301.23325363,17326556.659018606
0.11,0.010999999999999999,323127513.0,292581469.24581379,30546043.75418622,153493743.07271522,15368862.956191946
0.12,0.010999999999999999,323127513.0,289804556.1772514,33322956.822748594,174657577.05951893,19331990.175450366
