relative_coverage,vaccine_efficacy,total_infections,age0,age1,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75
0.10000000000000001,0.31,187561013.54865462,2347441.0635567014,9362998.101979088,13925909.39262105,14883081.101136239,15381888.354873037,14522003.073599229,14263830.419020899,13771675.869665749,13124421.944328265,12377822.556506012,12607643.216111014,12282083.670110973,11410770.076340193,9781079.4108427502,6734976.288344766,3927771.2085516178,6855617.8010670338
0.11,0.31,173527638.7247431,2148727.5741979559,8564253.2385941967,12934205.385260275,13967572.752358107,14442568.038270935,13445137.168247009,13058896.263544356,12616107.468593707,12030513.343103332,11351668.356190346,11539426.571740396,11243416.888136283,10429638.582241183,8944847.1950905789,6443412.9713593032,3776194.4850254548,6591052.4427896552
0.12,0.31,168505836.50969657,2083293.9687897468,8302411.4881949993,12188896.693653859,13068938.461420931,13509033.170719471,12768681.179113582,12745958.304809218,12288251.303430887,11715952.979813982,11059269.272196312,11319395.849915698,10990563.185711613,10292450.093450844,8867016.5678017382,6583757.796931928,3905398.3950644154,6816567.7986773709
0.13,0.31,186985574.1917063,2331087.9511616873,9269028.5105873235,13888783.056691425,14871490.813426085,15388599.327151561,14514445.046981359,14191138.537041999,13696196.414759252,13056554.449864393,12318375.639255065,12552914.351565521,12070153.425935175,11212509.678912185,9622330.0589109175,6917472.2088565817,4037446.771543575,7047047.9490622235
0.14000000000000001,0.31,163388463.24413523,2053528.456285048,8157811.2981958902,12227600.469728794,13150438.53611578,13615525.953633405,12720352.277790956,12483801.9101218,12070821.941723235,11498460.21276057,10834741.712084675,10984574.140969669,10819760.202685688,10012025.636042442,8557116.801800428,5512098.4234855333,3165198.5742342705,5524606.6964770369
0.14999999999999999,0.31,193251405.56462607,2398983.9007882103,9528869.9969128724,14212211.371178893,15218906.273987899,15740218.888580121,14886094.163926531,14793384.561537422,14268998.814066477,13600339.937341761,12830796.676563954,13101017.413783731,12486325.643401902,11612954.177746432,9970575.5676791687,7132785.8452399829,4177479.0149386059,7291463.3169521177
0.16,0.31,191159639.59656239,2408976.2670825426,9563800.5074808542,14025285.491264457,15026572.947017934,15553714.252306478,14708817.079914093,14597686.225997053,14077809.033616833,13417044.774564691,12660131.964284897,12936311.982529333,12526833.376268793,11679484.302925652,10025778.432777081,6876731.3655059375,4033865.126413771,7040796.4666119805
0.17000000000000001,0.31,182156181.60620654,2273541.468326631,9013624.1967689488,13492678.018950626,14550958.859562671,15066584.724151833,14077464.339112919,13873491.689791499,13404431.048727989,12776028.87949747,12047847.753927996,12244641.427040374,11779288.450647736,10885889.398437254,9319095.4020582773,6674862.8413502332,3888565.6149895666,6787187.4928645277
0.17999999999999999,0.31,174176914.18250227,2154841.9389966941,8538756.1056999546,12767511.91653317,13714996.331033027,14204942.102933504,13355732.73840832,13232657.303329729,12779285.5780716,12179382.158291493,11485709.064868065,11693643.697095037,11415884.953510685,10614287.366650408,9107368.1742161065,6492343.9212327423,3802537.940428087,6637032.8912036773
0.19,0.31,178719243.38803488,2221175.9389413996,8792405.7379242759,13294564.43388145,14298770.366151569,14807598.829073677,13869970.195905058,13674247.17398648,13213982.983638182,12594984.976613944,11873838.870295573,12059641.806391364,11364402.747422075,10466820.090363346,8959227.7826487888,6630771.1142028496,3859822.2140489435,6737018.126545867
0.20000000000000001,0.31,195525309.65884167,2463793.8860067185,9766062.1517439242,14465381.697237248,15344310.393278094,15846866.964458652,15213020.004352177,14737614.949020172,14216476.830392979,13547139.063322105,12778608.306915782,13038424.205973988,12714268.05064776,11886927.108722191,10225119.395204868,7348938.7902307836,4346274.7475878056,7586083.1137464307
0.20999999999999999,0.31,141667863.3967174,1743243.0451718406,6879889.4684984861,10705740.603198523,11855510.284961427,12324744.144490251,11053813.661368201,10747306.104414711,10398981.577542886,9923364.1868662909,9367098.9305610079,9475091.7280553058,9009604.0636200588,8250775.9969781674,7036263.3074753033,4971813.7083143601,2886486.3520384473,5038136.2331621777
0.22,0.31,168851075.08657345,2094464.3241514959,8277807.9586416185,12495946.698098743,13577611.81186574,14066224.830569899,13024206.675406577,12844908.764542239,12410521.790093377,11835204.848307071,11167068.429407179,11354566.722644217,11005059.740673322,10221750.908366641,8765101.6217008494,6046721.3367007924,3520008.6291083135,6143899.9962953497
0.23000000000000001,0.31,174609744.42630756,2188943.826090185,8647358.7325232103,12952966.69114526,13918561.261394246,14421039.190518789,13613787.460722268,13196189.115662135,12727803.851709034,12135639.598902561,11457630.098289551,11694808.038665764,11560469.35253536,10792194.935444936,9262060.4241126888,6172495.4503803048,3594273.2659248691,6273523.1322864117
