relative_coverage,vaccine_efficacy,total_hospitalizations,age0,age1,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75
0.10000000000000001,0.31,2314446.9650121122,31198.338435410707,124401.58443717285,33210.776682440221,35791.809063474619,99249.036764421049,180772.40459708555,177243.68790186624,171214.00018082035,163178.04760574337,153904.62953799128,156590.06872618146,222276.73802689477,206884.14914801574,177573.3993570985,146600.32501911669,85363.190145252098,148994.7793831265
0.11,0.31,2030074.1410140244,28971.857691454785,115468.34108155794,34494.354530236778,37050.617438564135,92499.924249391406,159031.88613955441,152687.5624812613,147657.46424133712,140884.11484914942,132981.40278417588,134781.92008034524,191710.10973383364,177117.81222037514,151691.39567345683,127791.23439453551,74762.332767016604,130491.81065777803
0.12,0.31,1919634.1540502294,28673.614303638489,114255.12892906636,28791.292539488324,31152.832098739134,84686.297114285888,151818.17190724399,151445.51153756838,146197.98329409224,139420.05652656595,131584.35822506732,134202.38913279038,164918.79207113071,154548.03414035114,133143.77648973506,123931.11815076535,73163.545256843587,127701.25233285707
0.13,0.31,2032953.4783440283,33168.78551341268,131914.24278041191,40679.917540112016,43618.809028378157,88748.171918022563,143717.25730256891,139698.53253339545,134872.96964649446,128654.52900216349,121446.48417046102,123637.54341410974,210383.23709894504,195452.16395320135,167716.24297242629,126659.51420529198,73790.144524346048,128794.93274028732
0.14000000000000001,0.31,1894025.6158924433,29601.49844715992,117590.77730794983,33438.425533601796,35977.649568149136,81924.422901996557,137787.92144794139,137555.88880264858,133077.95920833305,126750.8550848679,119388.36358021006,120899.33400606616,190895.78614325621,176599.30194857353,150839.54350258605,117030.85550794151,67263.627856985651,117403.40504417644
0.14999999999999999,0.31,2269650.6894809422,35077.497019699971,139339.74436308059,41056.628808728819,43946.086131462682,96959.363149398283,163514.65375571285,162643.08572984449,156902.00181612599,149594.50157500559,141177.74501632524,144131.05863563478,225469.00205531638,209753.50698021159,180103.34058840151,145459.0666019964,85423.44910532888,149099.95814866814
0.16,0.31,2207018.9268355719,34215.966903961169,135839.46121291013,41452.272875261158,44597.251871130007,100963.120269113,173359.78404651012,172608.58590371924,166479.82228000968,158658.80219848617,149688.85759821776,152931.69268757416,196648.42153769589,183541.18020531719,157627.06646493246,129849.22174185536,75965.526940228068,132591.89209865028
0.17000000000000001,0.31,2058046.4619121468,31405.358195888028,124463.91154465046,32279.814006488072,34815.297630305125,88336.30457392559,156050.75983461097,153641.57509021106,148399.33520671612,141459.41337740014,133432.71339451388,135742.22961505785,198398.89695265706,183985.08530171242,157621.2194441777,129912.198273841,75799.771146447849,132302.57832354325
0.17999999999999999,0.31,2157506.9367774995,28499.2533201113,112972.17331927846,35317.817456448196,37878.883540911127,93836.337746926307,165970.06773895872,162963.52076363898,157355.70340434945,149989.32438633277,141470.31577901074,144069.29778079211,204297.95009621335,189769.02492517722,162705.11647800557,141874.26498669758,83243.266577137605,145294.61847750974
0.19,0.31,2101371.5900886357,30049.503572015543,118976.58135057898,38640.735759126626,41388.350830216106,98945.442598696056,170584.897988546,169136.28867243949,163477.17047865866,155808.01259295829,146868.96009534819,149073.5128171235,169916.26057755604,156477.66424331264,133965.32560517726,137447.56833668091,80357.527410507391,140257.78715969383
